"VAR2","VAR3","SPCD","STATE","N","Avg_DBH","Min_DBH","Max_DBH","SD(PE)","SD(PE%)","MEAN(PE)","MEAN(PE%)","MEAN(APE)","MEAN(APE%)","SIGMA","RMSE","FI"
"Merch Stem Wood Volume","ST_WD_CV_MER","316","WI",247,9.35344129554656,5,25.1,2.57450133307882,13.7582257346864,0.242673028295682,4.52268102243862,1.4663501517484,10.9308621118871,0.181562919027738,2.58071948753808,0.971607700733013
"Merch Stem Wood+Bark Volume","ST_WDBK_CV_MER","316","WI",193,9.80155440414508,5,25.1,2.77546912838707,12.4038072728306,0.0368885042223273,2.72945627982164,1.61882237828665,9.54735490394149,0.192915395889003,2.76851522324776,0.976080151162258
"Stump Bark Volume","SP_BK_CV","316","WI",199,9.57587939698493,4,25.1,0.0519274731869964,124.77893362552,0.00489477931764827,59.0838470354122,0.0341429422883908,83.0481876907188,0.00447938952371558,0.0520276010736938,0.382535004206068
"Stump Wood Volume","SP_WD_CV","316","WI",316,9.41044303797468,4,28.6,0.22026697887826,21.5281360769203,0.0289267044078717,11.7851892072962,0.122784794195275,19.7318094655356,0.0167872621911695,0.221812442587854,0.89551664671642
"Stump Wood+Bark Volume","SP_WDBK_CV","316","WI",201,9.58308457711443,4,25.1,0.246530597413417,19.8084779478487,0.0374596426385395,11.3325982997284,0.13916273223308,19.176490073489,0.0182363983505749,0.248753262258679,0.868082880310093
"Total Stem Bark Volume","ST_BK_CV_TOT","316","WI",199,9.57587939698493,4,25.1,0.981514307211999,90.7892744619201,-0.0588452321081866,33.5647787382395,0.630957079417777,60.6414077066944,0.079287226184547,0.980811928782782,0.708375891762046
"Total Stem Wood Volume","ST_WD_CV_TOT","316","WI",316,9.41044303797468,4,28.6,2.99876900089965,11.4575781119174,0.256790800216532,4.33095206214494,1.56020475609033,9.46264801586366,0.189405940380661,3.00501237797443,0.970899443884163
"Total Stem Wood+Bark Volume","ST_WDBK_CV_TOT","316","WI",201,9.58308457711443,4,25.1,2.75554036084073,9.93931469659944,0.047919953610419,2.31339987419313,1.55657041376504,7.84119315765938,0.188304688172033,2.74909491823015,0.977553015843248
"Sawlog Bark Volume","ST_BK_CV_SAW","316","WI",64,14.09375,11,25.1,1.33819453017749,91.2228602524949,-0.284709792601347,20.1299087323093,1.04723427027017,53.5467193775598,0.0942965579151597,1.35788201612501,0.550020918883974
"Sawlog Wood Volume","ST_WD_CV_SAW","316","WI",71,14.0281690140845,11,25.1,5.20545925795982,19.7857730149537,-1.55013494433679,-3.03487719807457,3.96456387551045,15.2651185168166,0.344473488865911,5.39611705541947,0.919614689685013
"Sawlog Wood+Bark Volume","ST_WDBK_CV_SAW","316","WI",65,14.0615384615385,11,25.1,5.42578759316669,18.9616203693398,-2.10475182903915,-4.84512581256273,4.38221350472995,15.0566397655281,0.379644422186814,5.78067824263152,0.923202473015539
"Merch Stem Bark Volume","ST_BK_CV_MER","318","WI",270,11.2074074074074,5,31.8,2.23290610871911,80.6108879564577,0.95189932219426,75.3907563069382,1.38898041706765,82.7554411725078,0.132183398664464,2.42353374763189,0.550710267695542
"Merch Stem Wood Volume","ST_WD_CV_MER","318","WI",319,11.0253918495298,5,31.8,4.5707826395399,17.0596185401239,1.37947746330638,7.60275467788608,2.62304344193377,13.6535399797241,0.276173745717693,4.76754860254154,0.963602276769965
"Merch Stem Wood+Bark Volume","ST_WDBK_CV_MER","318","WI",275,11.1363636363636,5,31.8,4.98367681942034,17.3038679476299,2.12210280975289,10.3832377784433,3.13023703874863,14.3094095477233,0.322011303451837,5.40833047122559,0.964969692499996
"Stump Bark Volume","SP_BK_CV","318","WI",277,11.028880866426,3.6,31.8,0.080076181204213,90.5243803049818,0.0360477919796313,71.9660064985017,0.055683844493927,80.769472532071,0.00544096692320241,0.0876840315290118,0.602670883913211
"Stump Wood Volume","SP_WD_CV","318","WI",450,11.7417777777778,3.6,37.5,0.403004469304234,21.5353316043087,-0.0405207495272963,-1.11622655550589,0.211849937785465,16.705703171653,0.0245804547603292,0.404590677756529,0.867739400283419
